Ticker,close,high,low,month,open,volume,time,year,day,Sector,date,daily_return,cumulative_return
BAJAJ-AUTO,5016.45,5073.0,4997.1,10,5065.0,464531,0 days 05:30:00,2023,3,AUTOMOBILES,2023-10-03,0.0,0.0
BAJAJ-AUTO,4918.6,5019.2,4903.05,10,5011.25,256544,0 days 05:30:00,2023,4,AUTOMOBILES,2023-10-04,-0.019505825833009305,-0.019505825833009305
BAJAJ-AUTO,5011.05,5039.3,4925.1,10,4935.0,657876,0 days 05:30:00,2023,5,AUTOMOBILES,2023-10-05,0.018795998861464547,-0.0010764584516939069
BAJAJ-AUTO,5014.6,5120.0,4997.5,10,5120.0,279352,0 days 05:30:00,2023,6,AUTOMOBILES,2023-10-06,0.0007084343600642917,-0.0003687866917839733
BAJAJ-AUTO,5007.3,5068.7,4957.05,10,4957.05,244083,0 days 05:30:00,2023,9,AUTOMOBILES,2023-10-09,-0.0014557492123000726,-0.0018239990431480058
BAJAJ-AUTO,5037.5,5064.0,5002.2,10,5007.3,307502,0 days 05:30:00,2023,10,AUTOMOBILES,2023-10-10,0.006031194456094013,0.004196194520029062
BAJAJ-AUTO,5064.4,5095.0,5050.0,10,5055.0,575680,0 days 05:30:00,2023,11,AUTOMOBILES,2023-10-11,0.0053399503722084685,0.009558552362726624
BAJAJ-AUTO,5106.6,5151.0,5051.1,10,5085.0,472168,0 days 05:30:00,2023,12,AUTOMOBILES,2023-10-12,0.008332675144143487,0.017970875818557053
BAJAJ-AUTO,5052.4,5123.45,5040.0,10,5089.95,387366,0 days 05:30:00,2023,13,AUTOMOBILES,2023-10-13,-0.010613715583754457,0.007166422470073375
BAJAJ-AUTO,5076.7,5099.4,5032.0,10,5035.0,158560,0 days 05:30:00,2023,16,AUTOMOBILES,2023-10-16,0.004809595439791092,0.012010485502696122
BAJAJ-AUTO,5141.25,5150.0,5070.0,10,5083.0,318565,0 days 05:30:00,2023,17,AUTOMOBILES,2023-10-17,0.0127149526267063,0.02487815088359291
BAJAJ-AUTO,5137.35,5198.75,5125.65,10,5150.0,360985,0 days 05:30:00,2023,18,AUTOMOBILES,2023-10-18,-0.000758570386579116,0.024100708668480575
BAJAJ-AUTO,5482.6,5495.0,5245.0,10,5300.0,2838352,0 days 05:30:00,2023,19,AUTOMOBILES,2023-10-19,0.06720390862993564,0.09292427912168955
