Ticker,Overall Return (%)
TRENT,223.09261327764563
BEL,101.7600574712644
M&M,95.97697411213734
BAJAJ-AUTO,89.01115330562449
BHARTIARTL,69.599048957095
POWERGRID,68.8549235780506
BPCL,67.47715022263885
HEROMOTOCO,58.97665472874388
SUNPHARMA,57.28240395987558
HCLTECH,53.25744732380721
