Ticker,close,high,low,month,open,volume,time,year,day
AXISBANK,1041.05,1044.7,1032.6,10,1035.0,11589322,0 days 05:30:00,2023,3
AXISBANK,995.55,1037.0,988.85,10,1035.35,22584212,0 days 05:30:00,2023,4
AXISBANK,1003.25,1009.2,988.9,10,1000.0,7950412,0 days 05:30:00,2023,5
AXISBANK,1000.95,1008.0,999.4,10,1005.0,5289753,0 days 05:30:00,2023,6
AXISBANK,996.25,999.7,988.25,10,994.8,6823214,0 days 05:30:00,2023,9
AXISBANK,1012.25,1014.95,996.5,10,999.9,5728499,0 days 05:30:00,2023,10
AXISBANK,1019.1,1025.65,1012.0,10,1019.0,7396783,0 days 05:30:00,2023,11
AXISBANK,1018.45,1031.0,1014.95,10,1022.0,4920222,0 days 05:30:00,2023,12
AXISBANK,994.05,1011.45,992.25,10,1009.0,12173162,0 days 05:30:00,2023,13
AXISBANK,1004.8,1009.45,990.0,10,990.0,4646960,0 days 05:30:00,2023,16
AXISBANK,1008.05,1014.7,1003.1,10,1008.85,6105067,0 days 05:30:00,2023,17
AXISBANK,992.85,1014.1,989.35,10,1010.0,7818946,0 days 05:30:00,2023,18
AXISBANK,991.4,999.0,979.7,10,979.7,4836625,0 days 05:30:00,2023,19
AXISBANK,980.35,992.9,977.75,10,989.0,5664400,0 days 05:30:00,2023,20
AXISBANK,964.3,984.9,961.1,10,980.0,5896695,0 days 05:30:00,2023,23
AXISBANK,955.45,974.0,951.4,10,960.0,6957048,0 days 05:30:00,2023,25
AXISBANK,972.05,975.0,952.75,10,956.0,17540495,0 days 05:30:00,2023,26
AXISBANK,1002.75,1004.75,973.3,10,980.0,13443016,0 days 05:30:00,2023,27
AXISBANK,989.2,1002.75,979.2,10,1002.75,5270567,0 days 05:30:00,2023,30
AXISBANK,981.85,998.0,978.0,10,998.0,7816805,0 days 05:30:00,2023,31
AXISBANK,971.8,979.3,968.0,11,977.85,5703984,0 days 05:30:00,2023,1
AXISBANK,982.95,988.35,974.0,11,978.0,5193982,0 days 05:30:00,2023,2
AXISBANK,988.85,991.4,981.5,11,986.0,4268048,0 days 05:30:00,2023,3
AXISBANK,1009.4,1016.2,993.1,11,995.0,6552178,0 days 05:30:00,2023,6
AXISBANK,1020.9,1022.2,1005.25,11,1008.0,6559859,0 days 05:30:00,2023,7
AXISBANK,1021.7,1026.95,1015.6,11,1024.0,7643314,0 days 05:30:00,2023,8
AXISBANK,1021.9,1028.85,1016.65,11,1024.75,4407935,0 days 05:30:00,2023,9
AXISBANK,1029.2,1031.0,1016.65,11,1017.9,3294063,0 days 05:30:00,2023,10
AXISBANK,1029.95,1033.9,1026.25,11,1033.9,461834,0 days 05:30:00,2023,12
AXISBANK,1025.35,1031.85,1023.5,11,1030.05,5985481,0 days 05:30:00,2023,13
AXISBANK,1041.35,1045.0,1031.55,11,1045.0,7240388,0 days 05:30:00,2023,15
AXISBANK,1026.35,1044.0,1022.15,11,1042.8,6908825,0 days 05:30:00,2023,16
AXISBANK,994.35,1020.0,991.85,11,1014.9,13268353,0 days 05:30:00,2023,17
AXISBANK,988.7,994.75,980.35,11,981.0,8215656,0 days 05:30:00,2023,20
AXISBANK,991.8,997.5,986.65,11,989.95,7061614,0 days 05:30:00,2023,21
AXISBANK,998.1,999.9,988.0,11,991.0,6103988,0 days 05:30:00,2023,22
AXISBANK,999.05,1003.4,995.4,11,999.0,3112891,0 days 05:30:00,2023,23
AXISBANK,1008.5,1010.75,999.7,11,1002.0,6956281,0 days 05:30:00,2023,24
AXISBANK,1021.15,1021.95,1009.25,11,1013.05,6173384,0 days 05:30:00,2023,28
AXISBANK,1060.15,1063.5,1021.15,11,1027.15,9422396,0 days 05:30:00,2023,29
AXISBANK,1074.25,1080.9,1055.45,11,1062.7,24755589,0 days 05:30:00,2023,30
AXISBANK,1104.65,1109.0,1070.2,12,1075.4,14428758,0 days 05:30:00,2023,1
AXISBANK,1125.6,1129.0,1099.1,12,1120.5,14043213,0 days 05:30:00,2023,4
AXISBANK,1132.45,1151.85,1127.15,12,1136.8,15804808,0 days 05:30:00,2023,5
AXISBANK,1120.5,1145.7,1117.95,12,1135.1,7342767,0 days 05:30:00,2023,6
AXISBANK,1117.85,1129.6,1108.5,12,1119.25,6439419,0 days 05:30:00,2023,7
AXISBANK,1131.2,1134.35,1111.5,12,1115.85,7300989,0 days 05:30:00,2023,8
AXISBANK,1116.5,1139.4,1113.85,12,1129.0,6924589,0 days 05:30:00,2023,11
AXISBANK,1131.0,1133.9,1109.0,12,1120.0,9044111,0 days 05:30:00,2023,12
AXISBANK,1114.85,1151.0,1111.45,12,1150.0,8184523,0 days 05:30:00,2023,13
AXISBANK,1120.45,1138.6,1117.9,12,1132.4,9421193,0 days 05:30:00,2023,14
AXISBANK,1120.35,1127.85,1108.6,12,1119.2,12048410,0 days 05:30:00,2023,15
AXISBANK,1111.35,1120.0,1107.2,12,1119.7,7922468,0 days 05:30:00,2023,18
AXISBANK,1120.25,1126.85,1114.2,12,1123.8,6824641,0 days 05:30:00,2023,19
AXISBANK,1110.25,1123.85,1102.7,12,1122.0,9848057,0 days 05:30:00,2023,20
AXISBANK,1095.4,1103.9,1077.2,12,1103.9,10914682,0 days 05:30:00,2023,21
AXISBANK,1088.3,1106.3,1085.8,12,1095.4,10600025,0 days 05:30:00,2023,22
