Ticker,close,high,low,month,open,volume,time,year,day
TITAN,3196.25,3212.5,3114.4,10,3148.8,1007308,0 days 05:30:00,2023,3
TITAN,3166.65,3205.0,3151.0,10,3186.0,486969,0 days 05:30:00,2023,4
TITAN,3216.5,3231.0,3165.0,10,3173.9,1109881,0 days 05:30:00,2023,5
TITAN,3309.75,3319.8,3221.1,10,3230.0,1102120,0 days 05:30:00,2023,6
TITAN,3267.5,3296.0,3249.05,10,3294.7,822467,0 days 05:30:00,2023,9
TITAN,3269.2,3299.2,3259.3,10,3295.0,633934,0 days 05:30:00,2023,10
TITAN,3280.5,3296.0,3264.0,10,3289.7,546575,0 days 05:30:00,2023,11
TITAN,3285.0,3295.05,3262.6,10,3292.0,429096,0 days 05:30:00,2023,12
TITAN,3283.75,3307.0,3266.55,10,3285.0,920545,0 days 05:30:00,2023,13
TITAN,3301.4,3329.0,3275.0,10,3284.0,778014,0 days 05:30:00,2023,16
TITAN,3308.45,3328.45,3304.1,10,3317.95,584625,0 days 05:30:00,2023,17
TITAN,3282.75,3324.15,3277.5,10,3309.2,324535,0 days 05:30:00,2023,18
TITAN,3284.65,3300.95,3239.0,10,3270.0,698767,0 days 05:30:00,2023,19
TITAN,3266.2,3291.5,3244.0,10,3272.65,657550,0 days 05:30:00,2023,20
TITAN,3219.75,3274.95,3209.7,10,3246.2,566920,0 days 05:30:00,2023,23
TITAN,3187.85,3236.3,3179.0,10,3216.0,762466,0 days 05:30:00,2023,25
TITAN,3100.8,3189.9,3092.05,10,3160.35,1124281,0 days 05:30:00,2023,26
TITAN,3120.7,3138.75,3087.25,10,3095.1,1050608,0 days 05:30:00,2023,27
TITAN,3116.45,3121.95,3075.0,10,3105.0,802316,0 days 05:30:00,2023,30
TITAN,3189.65,3205.8,3087.85,10,3119.6,1235478,0 days 05:30:00,2023,31
TITAN,3173.4,3212.9,3168.35,11,3193.85,756820,0 days 05:30:00,2023,1
TITAN,3201.5,3228.5,3180.0,11,3200.0,774180,0 days 05:30:00,2023,2
TITAN,3274.5,3288.0,3205.05,11,3205.15,1355614,0 days 05:30:00,2023,3
TITAN,3267.05,3310.0,3245.3,11,3310.0,1137606,0 days 05:30:00,2023,6
TITAN,3270.2,3286.45,3250.2,11,3274.0,433992,0 days 05:30:00,2023,7
TITAN,3311.85,3323.8,3272.2,11,3289.0,632305,0 days 05:30:00,2023,8
TITAN,3283.75,3320.95,3274.65,11,3320.95,1317398,0 days 05:30:00,2023,9
TITAN,3256.35,3274.95,3223.0,11,3263.05,1170763,0 days 05:30:00,2023,10
TITAN,3280.6,3320.0,3265.0,11,3300.0,204514,0 days 05:30:00,2023,12
TITAN,3264.75,3278.35,3250.6,11,3275.0,275538,0 days 05:30:00,2023,13
TITAN,3295.95,3300.9,3260.75,11,3275.25,747863,0 days 05:30:00,2023,15
TITAN,3335.95,3358.0,3259.25,11,3295.4,1055389,0 days 05:30:00,2023,16
TITAN,3338.85,3366.0,3326.7,11,3339.0,633405,0 days 05:30:00,2023,17
TITAN,3345.85,3353.95,3312.25,11,3338.0,497379,0 days 05:30:00,2023,20
TITAN,3394.45,3401.75,3355.1,11,3365.0,1038863,0 days 05:30:00,2023,21
TITAN,3429.85,3435.0,3396.05,11,3400.0,980779,0 days 05:30:00,2023,22
TITAN,3408.4,3441.95,3396.3,11,3433.9,517362,0 days 05:30:00,2023,23
TITAN,3396.95,3419.1,3382.55,11,3406.0,589530,0 days 05:30:00,2023,24
TITAN,3442.4,3445.95,3397.35,11,3417.95,733524,0 days 05:30:00,2023,28
TITAN,3429.3,3473.85,3424.0,11,3473.85,819200,0 days 05:30:00,2023,29
TITAN,3490.6,3500.0,3422.25,11,3431.1,1480088,0 days 05:30:00,2023,30
TITAN,3489.5,3500.0,3470.0,12,3499.0,655263,0 days 05:30:00,2023,1
TITAN,3488.4,3550.0,3478.05,12,3550.0,808838,0 days 05:30:00,2023,4
TITAN,3545.3,3550.0,3479.0,12,3488.4,713651,0 days 05:30:00,2023,5
TITAN,3546.9,3573.95,3522.1,12,3550.0,474140,0 days 05:30:00,2023,6
TITAN,3585.4,3595.0,3519.05,12,3546.9,820214,0 days 05:30:00,2023,7
TITAN,3634.65,3646.95,3575.0,12,3575.0,1562141,0 days 05:30:00,2023,8
TITAN,3630.5,3644.6,3598.3,12,3634.55,620604,0 days 05:30:00,2023,11
TITAN,3571.4,3644.5,3563.25,12,3637.0,1075941,0 days 05:30:00,2023,12
TITAN,3602.35,3609.75,3552.75,12,3585.0,717618,0 days 05:30:00,2023,13
TITAN,3591.4,3647.0,3584.35,12,3647.0,992762,0 days 05:30:00,2023,14
TITAN,3600.55,3615.0,3584.8,12,3615.0,906271,0 days 05:30:00,2023,15
TITAN,3619.6,3667.2,3593.9,12,3600.7,699850,0 days 05:30:00,2023,18
TITAN,3610.45,3627.95,3600.1,12,3610.65,577926,0 days 05:30:00,2023,19
TITAN,3554.1,3651.5,3541.0,12,3610.45,849001,0 days 05:30:00,2023,20
TITAN,3580.0,3598.95,3518.8,12,3524.1,816722,0 days 05:30:00,2023,21
TITAN,3627.35,3638.45,3560.55,12,3580.0,777099,0 days 05:30:00,2023,22
TITAN,3656.7,3665.0,3623.45,12,3635.0,526101,0 days 05:30:00,2023,26
TITAN,3689.25,3695.0,3645.0,12,3668.0,666625,0 days 05:30:00,2023,27
TITAN,3715.1,3737.0,3680.7,12,3699.9,1033648,0 days 05:30:00,2023,28
