Ticker,close,high,low,month,open,volume,time,year,day
JSWSTEEL,770.25,776.55,768.0,10,776.55,1099773,0 days 05:30:00,2023,3
JSWSTEEL,756.6,768.0,753.15,10,767.95,1654158,0 days 05:30:00,2023,4
JSWSTEEL,755.5,762.65,752.9,10,762.0,1459736,0 days 05:30:00,2023,5
JSWSTEEL,765.2,771.15,758.65,10,760.35,2026927,0 days 05:30:00,2023,6
JSWSTEEL,757.55,761.4,749.15,10,756.5,725323,0 days 05:30:00,2023,9
JSWSTEEL,771.9,774.2,757.3,10,759.65,1351582,0 days 05:30:00,2023,10
JSWSTEEL,777.25,782.55,774.55,10,776.0,1841618,0 days 05:30:00,2023,11
JSWSTEEL,783.45,789.95,779.45,10,782.4,2139718,0 days 05:30:00,2023,12
JSWSTEEL,777.25,780.0,773.0,10,778.0,998547,0 days 05:30:00,2023,13
JSWSTEEL,790.7,794.35,773.0,10,777.25,2157341,0 days 05:30:00,2023,16
JSWSTEEL,790.15,796.0,788.15,10,792.7,1050381,0 days 05:30:00,2023,17
JSWSTEEL,784.4,801.0,781.2,10,793.1,1250892,0 days 05:30:00,2023,18
JSWSTEEL,780.45,782.7,769.15,10,780.15,2130597,0 days 05:30:00,2023,19
JSWSTEEL,769.4,779.75,761.9,10,779.6,1501944,0 days 05:30:00,2023,20
JSWSTEEL,748.95,774.8,746.1,10,770.8,1715908,0 days 05:30:00,2023,23
JSWSTEEL,748.3,761.85,741.5,10,754.1,2417579,0 days 05:30:00,2023,25
JSWSTEEL,728.7,745.0,725.5,10,744.7,2519570,0 days 05:30:00,2023,26
JSWSTEEL,732.0,735.45,725.25,10,729.7,1588987,0 days 05:30:00,2023,27
JSWSTEEL,734.5,736.8,726.0,10,734.8,1162173,0 days 05:30:00,2023,30
JSWSTEEL,736.35,738.55,727.0,10,737.0,1363728,0 days 05:30:00,2023,31
JSWSTEEL,724.45,737.3,723.0,11,736.9,1845107,0 days 05:30:00,2023,1
JSWSTEEL,733.35,734.4,725.0,11,728.0,1095177,0 days 05:30:00,2023,2
JSWSTEEL,746.05,748.0,735.0,11,735.95,2526039,0 days 05:30:00,2023,3
JSWSTEEL,754.0,756.45,744.9,11,748.1,2782755,0 days 05:30:00,2023,6
JSWSTEEL,748.6,759.6,746.95,11,757.0,2288975,0 days 05:30:00,2023,7
JSWSTEEL,756.7,757.75,745.0,11,750.0,2664277,0 days 05:30:00,2023,8
JSWSTEEL,750.85,759.9,749.05,11,756.7,2579350,0 days 05:30:00,2023,9
JSWSTEEL,754.75,759.0,745.05,11,751.9,1108868,0 days 05:30:00,2023,10
JSWSTEEL,756.55,761.0,753.0,11,760.0,133415,0 days 05:30:00,2023,12
JSWSTEEL,761.1,763.25,753.0,11,756.55,942603,0 days 05:30:00,2023,13
